Track,Album Name,Artist,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,year,month
Una Foto Remix (feat. Emilia),Una Foto Remix (feat. Emilia),Mesita,UYS642300003,1181,43.7,206001461.0,15932.0,35397476.0,78.0,45907269.0,307741.0,,"998,400","13,500,000",,14.0,11512.0,26.0,"552,100",21.0,"148,059",331,394118.0,0,2024,1
Religiously,Religiously,Bailey Zimmerman,USWB12300537,1178,43.7,225556005.0,25164.0,10017767.0,73.0,23904394.0,111346.0,"73,524","5,688,685","56,949,752","243,552,012",28.0,154327.0,2.0,644,17.0,"92,243,007","13,325",594487.0,0,2023,3
What Happened To Virgil (feat. Gunna),7220,Lil Durk,USQX92200954,1179,43.7,144889291.0,63045.0,7698742.0,59.0,98375891.0,844144.0,"96,486","68,284,710","515,213,856","65,793,712",31.0,131447.0,3.0,"245,510",13.0,"20,715,332","10,912",1047166.0,1,2022,3
Hello,Hello,Adele,GBBKS1500214,1186,43.6,1550553401.0,140637.0,42531792.0,68.0,347935820.0,3794833.0,"209,908","68,479,244","707,793,848","1,006,781",288.0,52436.0,166.0,"496,477",40.0,"919,585,690","959,806",11659524.0,0,2015,10
HAY LUPITA,HAY LUPITA - Single,Lomiiel,QZHNA2429530,1187,43.6,22692011.0,1996.0,19217759.0,71.0,51510163.0,439315.0,"6,538","9,803,472","84,927,420","5,782,251",13.0,1909.0,4.0,"492,038",,"125,762","1,408",516845.0,0,2024,3
Gatita,Gatita,Bellakath,QZPLR2286558,1184,43.6,218661601.0,25714.0,8048259.0,57.0,173995566.0,1354818.0,"1,961,387","191,009,331","2,353,588,008","324,051",8.0,13477.0,3.0,"154,370",24.0,"4,469,095","7,776",873692.0,0,2022,10
World on Fire,NATE SMITH (DELUXE),Nate Smith,USRN12300006,1183,43.6,100360956.0,15383.0,9521311.0,69.0,12196961.0,98714.0,"45,372","6,096,788","57,109,846",,19.0,242951.0,6.0,"23,353",17.0,"66,436,990","4,806",415236.0,0,2023,4
Love You Anyway,Love You Anyway,Luke Combs,US6XF2100158,1185,43.6,164507374.0,29896.0,7920265.0,67.0,47201934.0,291689.0,"127,315","21,357,285","220,946,119","389,278,042",20.0,146916.0,2.0,592,23.0,"124,948,868","11,423",624045.0,0,2023,2
MOJABI GHOST,DATA,Tainy,USA2P2331985,1188,43.5,368429447.0,46625.0,20677828.0,75.0,74049864.0,676666.0,"3,207","955,307","6,911,099","638,649,904",52.0,4683.0,11.0,"847,361",10.0,"6,221,683","1,262",715485.0,1,2023,6
N95,Mr. Morale & The Big Steppers,Kendrick Lamar,USUM72208963,1194,43.4,426936498.0,118020.0,24734503.0,74.0,124386115.0,2134071.0,"34,724","16,024,927","186,922,543","1,303,000,868",48.0,13141.0,21.0,"357,536",45.0,"8,689,010","3,163",1452569.0,1,2022,5
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],HEROES & VILLAINS,Metro Boomin,USUG12208792,1191,43.4,325654069.0,108296.0,18764224.0,71.0,21886334.0,217873.0,,3,19,"7,326,120",15.0,311.0,4.0,"73,801",6.0,"2,079,133","1,461",660445.0,1,2022,12
Earned It (Fifty Shades Of Grey),Fifty Shades Of Grey (Original Motion Picture Soundtrack),The Weeknd,USUG11500923,1195,43.4,1667089416.0,97707.0,24754802.0,69.0,955666073.0,8354260.0,"331,766","121,101,434","1,048,617,583","203,635,578",26.0,,11.0,"278,161",20.0,"1,063,784,773","693,592",,1,2015,2
Gucci Gang,Gucci Gang,Lil Pump,USWB11701486,1189,43.4,648757330.0,66961.0,13429975.0,55.0,1402505864.0,15657910.0,"1,404,568","27,119,678","243,585,831","200,186,337",62.0,13516.0,20.0,"52,013",5.0,"79,188,658","496,624",2724063.0,1,2017,8
La Bebe,LPM,Yng Lvcas,QZTAT2174000,1198,43.3,255707376.0,35404.0,4489095.0,64.0,132383657.0,926647.0,"3,955,024","237,343,814","3,229,349,729",,4.0,3835.0,,,2.0,"1,505,248","8,802",1296219.0,1,2021,12
Jaded,Endless Summer Vacation,Miley Cyrus,USSM12209778,1197,43.3,173349210.0,22117.0,9481406.0,65.0,69971780.0,926126.0,"12,719","7,349,390","120,314,198","24,140,873",40.0,225522.0,41.0,"782,200",20.0,"56,973,358","6,891",,1,2023,3
Bye,Bye,Peso Pluma,QM6P42321186,1196,43.3,252239644.0,24974.0,6379185.0,65.0,157154307.0,1031138.0,"408,410","96,001,756","1,121,997,176",,35.0,692.0,3.0,"132,211",11.0,"18,131,311","9,970",415733.0,1,2023,5
L$d,Deaf 2 Society,Luclover,QZHN42243265,1199,43.3,34621941.0,15846.0,2877860.0,36.0,4019929.0,89953.0,"5,003,856","589,943,665","5,720,070,197","86,746,342",1.0,261.0,2.0,"25,486",3.0,"250,124",597,539017.0,1,2022,4
Wolves,Wolves,Selena Gomez,USUM71712103,1200,43.3,1358424406.0,123735.0,33188573.0,71.0,930929767.0,8736302.0,"961,584","29,990,673","253,791,542","360,395,375",116.0,104652.0,53.0,"382,928",33.0,"172,588,260","120,004",7290982.0,0,2017,10
Scars To Your Beautiful,Know-It-All,Alessia Cara,USUM71506811,1201,43.2,1422563654.0,129568.0,38951634.0,71.0,710718042.0,9930759.0,"4,732,710","104,484,107","736,544,909","461,321,746",138.0,171774.0,39.0,"217,966",26.0,"462,206,026","174,621",113684.0,0,2015,11
FRI(END)S,FRI(END)S,V,USA2P2411822,1203,43.2,196612187.0,3800.0,44868049.0,85.0,38102046.0,2794580.0,,"2,941","26,700","119,265,847",16.0,5014.0,33.0,"11,190,250",11.0,"1,934,224",135,226475.0,0,2024,3
